label,method,n_obs,gamma1_rb_high,se1,pval1,gamma2_gpt_high,se2,pval2,gender,age_group
Men_22-25,PanelOLS,6401850,-0.011714228229283686,0.0024339608452416416,1.488164811824788e-06,-0.006690108934642447,0.0025054211887743467,0.007579435655113542,Men,22-25
Men_26-30,PanelOLS,9373104,-0.0035196398501142856,0.0021518763832974147,0.10192038050672703,-0.0021594941942909033,0.0021901642995485445,0.32413490049352944,Men,26-30
Men_31-34,PanelOLS,8448726,-0.002923076341810337,0.0022551249919000654,0.19490919138376306,0.006618323461685846,0.002320876322281078,0.004349333158955915,Men,31-34
Men_35-40,PanelOLS,10064574,0.00023979653571564613,0.0020170290428482666,0.90536566899088,0.0025938377827524227,0.0020851286098001304,0.21351058892503172,Men,35-40
Men_41-49,PanelOLS,12338664,0.006043510901793206,0.0017608539935747962,0.0005988245328261144,0.005215236635932204,0.0018503861669357186,0.004825496830617837,Men,41-49
Men_50+,PanelOLS,16984266,0.007519522914575178,0.0013899151217711299,6.300528765379454e-08,0.01551687212744732,0.0014902038929277585,0.0,Men,50+
Women_22-25,PanelOLS,7412574,-0.00645144597325,0.0021556663802752623,0.00276445805348291,-0.016365049147092692,0.002233206892526959,2.3359092438113294e-13,Women,22-25
Women_26-30,PanelOLS,9506640,-0.0034953975172335545,0.002053588930265073,0.08873815323577561,-0.006482367534500001,0.0020999104477632444,0.002022066429459901,Women,26-30
Women_31-34,PanelOLS,7746258,0.006259956000078618,0.0022570168681903115,0.005544801194587112,0.00426542649023978,0.002353919374898475,0.06997808079364032,Women,31-34
Women_35-40,PanelOLS,8826948,0.0006353629494866045,0.002088022047144142,0.7609074412842087,0.0017111138907658424,0.0021781824516846483,0.4321197212580792,Women,35-40
Women_41-49,PanelOLS,10863138,-0.0011083579363612192,0.0018398092661439241,0.5468873726522756,-0.008650387858042782,0.001894474446657744,4.968554912831991e-06,Women,41-49
Women_50+,PanelOLS,14592396,0.00373752411209462,0.0014591108655736607,0.01042190108853025,0.0009683832245296194,0.0015161622375194721,0.523013664286867,Women,50+
