"term","gpt_x_high_22_25","rb_x_high_22_25","q1_x_high_22_25","q2_x_high_22_25","q3_x_high_22_25","gpt_x_high_26_30","rb_x_high_26_30","q1_x_high_26_30","q2_x_high_26_30","q3_x_high_26_30"
"gpt_x_high_22_25",0.000327035526547956,0.000134259444228137,3.05937662986197e-05,-4.04522429827607e-05,-7.13226727628228e-05,9.8357179207218e-05,6.75628633031984e-05,2.43316816876686e-05,-3.41736606297813e-06,-1.35039412707186e-05
"rb_x_high_22_25",0.000134259444228137,0.000274817397209482,1.64239283545233e-05,-5.74457612106145e-05,-5.59055909695612e-05,6.73982384556601e-05,0.000108913295160077,7.61908833848188e-06,-2.16620802093544e-05,-2.01126002183165e-05
"q1_x_high_22_25",3.05937662986197e-05,1.64239283545233e-05,0.000136593014210997,7.88438876355747e-05,4.66855995873069e-05,1.0920234268581e-05,-6.10617209372471e-06,4.51509683981121e-05,2.55771154071196e-05,1.48268427614052e-05
"q2_x_high_22_25",-4.04522429827607e-05,-5.74457612106145e-05,7.88438876355747e-05,0.000117098156006565,0.000101083331530802,-2.26449806735068e-05,-4.1244335271973e-05,1.69532380701537e-05,3.14863224562559e-05,2.51343461191953e-05
"q3_x_high_22_25",-7.13226727628228e-05,-5.59055909695612e-05,4.66855995873069e-05,0.000101083331530802,0.00015827949250167,-2.89825608499722e-05,-3.9312160435942e-05,1.86106927731688e-06,2.27080421126976e-05,3.74072141725311e-05
"gpt_x_high_26_30",9.8357179207218e-05,6.73982384556601e-05,1.0920234268581e-05,-2.26449806735068e-05,-2.89825608499722e-05,9.8068238579196e-05,4.86708787449196e-05,8.39493750950278e-06,-6.9580010251972e-06,-9.7420147063194e-06
"rb_x_high_26_30",6.75628633031984e-05,0.000108913295160077,-6.10617209372471e-06,-4.1244335271973e-05,-3.9312160435942e-05,4.86708787449196e-05,0.00012359234864823,7.90580515974879e-06,-1.93506373991503e-05,-1.82355493527636e-05
"q1_x_high_26_30",2.43316816876686e-05,7.61908833848188e-06,4.51509683981121e-05,1.69532380701537e-05,1.86106927731688e-06,8.39493750950278e-06,7.90580515974879e-06,2.72499107900688e-05,1.38635441780926e-05,5.56146392425486e-06
"q2_x_high_26_30",-3.41736606297813e-06,-2.16620802093544e-05,2.55771154071196e-05,3.14863224562559e-05,2.27080421126976e-05,-6.9580010251972e-06,-1.93506373991503e-05,1.38635441780926e-05,1.84273062080084e-05,1.14171661323394e-05
"q3_x_high_26_30",-1.35039412707186e-05,-2.01126002183165e-05,1.48268427614052e-05,2.51343461191953e-05,3.74072141725311e-05,-9.7420147063194e-06,-1.82355493527636e-05,5.56146392425486e-06,1.14171661323394e-05,1.6093642409688e-05
