measure,specification,variable,coefficient,std_error,t_stat,p_value,n_obs
DAIOE,spec1,post_rb_x_high,-0.17810687859973867,0.04111756342079373,-4.331649635388354,1.4854571139366612e-05,26672
DAIOE,spec2,post_rb_x_high,-0.12711112004522548,0.03881507106132909,-3.2747877710795823,0.0010587842444187423,26672
DAIOE,spec2,post_gpt_x_high,-0.061534274209258194,0.0379779167136574,-1.620264604644035,0.10518747199671097,26672
DAIOE,spec3,post_rb_x_high,-0.06792539684776462,0.05005297477160031,-1.3570701273544483,0.17477060913571418,26672
DAIOE,spec3,post_gpt_x_high,0.017764693078906223,0.040224069350750534,0.4416433584578323,0.6587509447372604,26672
DAIOE,spec3,time_x_high,-0.0033274220013901614,0.0013244248137557902,-2.512352507164444,0.011998875337286607,26672
DAIOE,spec4,post_rb_x_high,-0.03892687964425232,0.048600070856446284,-0.8009634339676911,0.42316024291509935,26672
DAIOE,spec4,post_gpt_x_high,-0.03211221194865478,0.047930756099934364,-0.6699709030606916,0.5028823774141338,26672
Eloundou,spec1,post_rb_x_high,-0.10206753790058755,0.04605526299746155,-2.216197048016277,0.0266872670357321,24640
Eloundou,spec2,post_rb_x_high,-0.02236525980943753,0.04321313271386623,-0.5175570111412211,0.6047721086573294,24640
Eloundou,spec2,post_gpt_x_high,-0.09615071255407273,0.04285414846249564,-2.2436733899454393,0.02486242142870787,24640
Eloundou,spec3,post_rb_x_high,0.02867045607506869,0.05719841393687978,0.5012456482920563,0.616202807148881,24640
Eloundou,spec3,post_gpt_x_high,-0.02773789972563259,0.048539049607559406,-0.5714553529559162,0.5676963193501305,24640
Eloundou,spec3,time_x_high,-0.00287075759094367,0.0015125941462129121,-1.8979034119173324,0.05772068535796815,24640
Eloundou,spec4,post_rb_x_high,0.03668191108793938,0.050877777645789095,0.7209810016333401,0.4709283406144533,24640
Eloundou,spec4,post_gpt_x_high,-0.06610045149409775,0.04924544830484225,-1.342265199514859,0.17952292601128206,24640
