period,coef,se,pval
2019H2,0.11887148428780478,0.41336283677566643,0.7736768268459739
2020H1,0.14613347078035405,0.055618926187566524,0.008608882955211561
2020H2,0.13542829428112557,0.052521183953175746,0.009927108183848787
2021H1,0.11187116688083339,0.043610346525971545,0.0103158477323122
2021H2,0.08920650403757042,0.029175137489707504,0.00223326494156173
2022H1,0.0,0.0,1.0
2022H2,-0.0031300527629578795,0.02909494158414477,0.9143291692958988
2023H1,-0.0657813163989135,0.03790177451041077,0.08265102165695026
2023H2,-0.00036064505916012286,0.05005241158266012,0.9942510684032024
2024H1,-0.08597894772913309,0.0530368804367516,0.1050047407152821
2024H2,-0.056522784712196295,0.05500054201724935,0.3041113351903906
2025H1,-0.09449499496233398,0.0500573766589735,0.05907275007146895
2025H2,-0.09874335744160448,0.05541089947030002,0.07475746468455302
2026H1,-0.41215229803396564,0.07759413525228133,1.0952700235655755e-07
