mbar,theta_hat,se_theta,bias_bound,ci_lo,ci_hi,includes_zero
0.0,-0.16896913516315998,0.059052935942707704,0.0,-0.28471076279221796,-0.053227507534102006,False
0.25,-0.16896913516315998,0.059052935942707704,0.07134392686889501,-0.356054689661113,0.018116419334793007,True
0.5,-0.16896913516315998,0.059052935942707704,0.14268785373779003,-0.427398616530008,0.08946034620368802,True
0.75,-0.16896913516315998,0.059052935942707704,0.21403178060668504,-0.498742543398903,0.16080427307258305,True
1.0,-0.16896913516315998,0.059052935942707704,0.28537570747558005,-0.570086470267798,0.23214819994147806,True
1.25,-0.16896913516315998,0.059052935942707704,0.35671963434447507,-0.641430397136693,0.3034921268103731,True
1.5,-0.16896913516315998,0.059052935942707704,0.4280635612133701,-0.712774324005588,0.3748360536792681,True
1.75,-0.16896913516315998,0.059052935942707704,0.4994074880822651,-0.7841182508744831,0.4461799805481631,True
2.0,-0.16896913516315998,0.059052935942707704,0.5707514149511601,-0.8554621777433781,0.5175239074170581,True
2.25,-0.16896913516315998,0.059052935942707704,0.6420953418200551,-0.9268061046122731,0.5888678342859531,True
2.5,-0.16896913516315998,0.059052935942707704,0.7134392686889501,-0.9981500314811681,0.6602117611548481,True
2.75,-0.16896913516315998,0.059052935942707704,0.7847831955578451,-1.0694939583500631,0.7315556880237432,True
3.0,-0.16896913516315998,0.059052935942707704,0.8561271224267402,-1.140837885218958,0.8028996148926382,True
