specification,beta_rb,se_rb,p_rb,beta_gpt,se_gpt,p_gpt,n_obs,n_entities
Baseline (genAI Q4),-0.12711112004522548,0.03881507106132909,0.0010587842444187423,-0.061534274209258194,0.0379779167136574,0.10518747199671097,26672,369.0
All-apps measure,-0.09210586126527504,0.0385709095773028,0.016949133492241142,-0.09105662895142515,0.03853175533929031,0.018127192117136648,26672,369.0
Vacancy-weighted,-0.10378218507191549,0.04430581633195522,0.019167326174542865,-0.06115972631728665,0.04367193572622184,0.16139479595741335,26672,369.0
Excl. pandemic,-0.11591004266117026,0.03560932396960735,0.0011353012963235543,-0.06165437993284636,0.03799230354555449,0.1046426335831665,24479,369.0
Terciles,-0.0936120283995999,0.03598482482831834,0.009288795722455001,-0.08083891613078545,0.03619579746102754,0.025532394660407354,26672,369.0
Excl. IT/tech,-0.1290821255466838,0.0405609249419079,0.0014622077661645694,-0.06623063897250063,0.03995378629671833,0.09739403880080655,26148,362.0
Balanced panel,-0.11302243043006452,0.03766911244747034,0.0026992952595588093,-0.03253515964226032,0.03453768022792844,0.34619322525213847,22176,308.0
Language model,-0.11539963759152133,0.0385529394821887,0.00276255969163941,-0.0564061789270986,0.038717980939077024,0.14517055897097686,26672,369.0
Quadratic trends,-0.08838534638633468,0.03230408933926947,0.006222491680718312,0.01926452903580851,0.04017837559610039,0.6316047053849871,26672,369.0
